_2011CandidateDonations_Id,UserName,LoginCode,CandidateName_First,CandidateName_Last,CandidateName_Prefix,Electorate,Party,TotalDonationsACD,TotalPartA,TotalPartACalculated,PartATotalsMatch,TotalPartB,TotalPartC,TotalPartDCalculated,PartCTotalsMatch,TotalPartD,TotalPartDCalculated2,PartDTotalsMatch,TotalCandidateExpensesPartsABCD,Part2CandidateExpenses_TotalExpenses,Entry_Status,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
400,Evie Mcgruddy,d23,Bruce,Welsh,,Rongotai,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$87.68,$87.68,Submitted,21/11/2024 10:45 PM,21/11/2024 10:45 PM,21/11/2024 10:45 PM
399,Evie Mcgruddy,d23,Matthew James,Webster,,Northcote,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$75.86,$75.86,Submitted,21/11/2024 10:44 PM,21/11/2024 10:44 PM,21/11/2024 10:44 PM
398,Evie Mcgruddy,d23,Wilton,Gray,,Selwyn,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$41.68,$41.68,Submitted,21/11/2024 10:43 PM,21/11/2024 10:43 PM,21/11/2024 10:43 PM
397,Evie Mcgruddy,d23,Oliver,Vitali,,Nelson,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$41.68,$41.68,Submitted,21/11/2024 10:43 PM,21/11/2024 10:43 PM,21/11/2024 10:43 PM
396,Evie Mcgruddy,d23,Lance,Gedge,,Pakuranga,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$41.68,$41.68,Submitted,21/11/2024 10:42 PM,21/11/2024 10:42 PM,21/11/2024 10:42 PM
395,Evie Mcgruddy,d23,Melanie,Taylor,,Northland,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$41.68,$41.68,Submitted,21/11/2024 10:41 PM,21/11/2024 10:41 PM,21/11/2024 10:41 PM
394,Evie Mcgruddy,d23,Paul,Stipkovits,,Wellington Central,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$41.68,$41.68,Submitted,21/11/2024 10:40 PM,21/11/2024 10:40 PM,21/11/2024 10:40 PM
393,Evie Mcgruddy,d23,Daryl,Smith,,Rotorua,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$41.68,$41.68,Submitted,21/11/2024 10:39 PM,21/11/2024 10:39 PM,21/11/2024 10:39 PM
392,Evie Mcgruddy,d23,Litia,Simpson,,Tāmaki,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$927.95,$927.95,Submitted,21/11/2024 10:38 PM,21/11/2024 10:38 PM,21/11/2024 10:38 PM
391,Evie Mcgruddy,d23,Fa'avae,Gagamoe,,Māngere,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,366.48","$1,366.48",Submitted,21/11/2024 10:37 PM,21/11/2024 10:37 PM,21/11/2024 10:37 PM
390,Evie Mcgruddy,d23,Kathy,Sheldrake,,East Coast,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$6,576.36","$6,576.36",Submitted,21/11/2024 10:36 PM,21/11/2024 10:36 PM,21/11/2024 10:36 PM
389,Evie Mcgruddy,d23,John Stephen,Ryersson,,Ōtaki,New Conservatives,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$41.68,$41.68,Submitted,21/11/2024 10:32 PM,21/11/2024 10:32 PM,21/11/2024 10:32 PM
388,Evie Mcgruddy,d23,Simonne,Dyer,,East Coast Bays,New Conservatives,"$19,073.03","$19,073.03","$19,073.03",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$19,073.03","$19,073.03",Submitted,21/11/2024 10:25 PM,21/11/2024 10:25 PM,21/11/2024 10:25 PM
387,Evie Mcgruddy,d23,Doug,Stevens,,Nelson,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,140.00","$1,140.00",Submitted,21/11/2024 10:20 PM,21/11/2024 10:20 PM,21/11/2024 10:20 PM
386,Evie Mcgruddy,d23,Alan,Simmons,,Taupō,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$400.00,$400.00,Submitted,21/11/2024 10:19 PM,21/11/2024 10:19 PM,21/11/2024 10:19 PM
385,Evie Mcgruddy,d23,Victoria,Rogers,,Taranaki-King Country,United Future,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,Submitted,21/11/2024 10:18 PM,21/11/2024 10:18 PM,21/11/2024 10:18 PM
