_2014CandidateDonations_Id,UserName,LoginCode,CandidateName_First,CandidateName_Last,CandidateName_Prefix,Electorate,Party,TotalDonationsACD,TotalExpenses,TotalPartA,TotalPartACalculated,PartATotalsMatch,TotalPartB,TotalPartC,TotalPartDCalculated,PartCTotalsMatch,TotalPartD,TotalPartDCalculated2,PartDTotalsMatch,TotalCandidateExpensesPartsABCD,Entry_Status,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
478,Evie Mcgruddy,d23,Paul,Foster-Bell,,Wellington Central,National Party,"$10,700.24","$10,742.79","$10,700.24","$10,700.24",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$10,742.79",Submitted,25/10/2024 1:05 AM,25/10/2024 1:05 AM,25/10/2024 1:05 AM
477,Evie Mcgruddy,d23,Craig,Foss,,Tukituki,National Party,"$23,561.22","$19,567.21","$23,561.22","$23,561.22",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$19,567.21",Submitted,25/10/2024 12:59 AM,25/10/2024 12:59 AM,25/10/2024 12:59 AM
476,Evie Mcgruddy,d23,Christopher,Finlayson,,Rongotai,National Party,"$1,992.80","$4,970.41","$1,992.80","$1,992.80",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$4,970.41",Submitted,25/10/2024 12:42 AM,25/10/2024 12:42 AM,25/10/2024 12:42 AM
475,Evie Mcgruddy,d23,Sarah,Dowie,,Invercargill,National Party,"$19,500.00","$14,171.51","$19,500.00","$19,500.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$14,171.51",Submitted,25/10/2024 12:40 AM,25/10/2024 12:40 AM,25/10/2024 12:40 AM
474,Evie Mcgruddy,d23,Matt,Doocey,,Waimakariri,National Party,"$24,850.00","$23,287.90","$24,850.00","$24,850.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$23,287.90",Submitted,25/10/2024 12:28 AM,25/10/2024 12:28 AM,25/10/2024 12:28 AM
473,Evie Mcgruddy,d23,Jacqui,Dean,,Waitaki,National Party,"$15,000.00","$7,000.74","$15,000.00","$15,000.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$7,000.74",Submitted,25/10/2024 12:14 AM,25/10/2024 12:14 AM,25/10/2024 12:14 AM
472,Evie Mcgruddy,d23,Judith,Collins,,Papakura,National Party,"$19,180.59","$19,780.89","$19,180.59","$19,180.59",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$19,780.89",Submitted,25/10/2024 12:13 AM,25/10/2024 12:13 AM,25/10/2024 12:13 AM
471,Evie Mcgruddy,d23,Jonathan,Coleman,,Northcote,National Party,"$15,047.19","$14,572.25","$15,047.19","$15,047.19",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$14,572.25",Submitted,25/10/2024 12:11 AM,25/10/2024 12:11 AM,25/10/2024 12:11 AM
470,Evie Mcgruddy,d23,Gerry,Brownlee,,Ilam,National Party,"$15,000.00","$12,874.92","$15,000.00","$15,000.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$12,874.92",Submitted,25/10/2024 12:10 AM,25/10/2024 12:10 AM,25/10/2024 12:10 AM
469,Evie Mcgruddy,d23,Simeon,Brown,,Manurewa,National Party,"$14,721.47","$14,721.47","$14,721.47","$14,721.47",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$14,721.47",Submitted,25/10/2024 12:09 AM,25/10/2024 12:09 AM,25/10/2024 12:09 AM
468,Evie Mcgruddy,d23,Simon,Bridges,,Tauranga,National Party,"$37,400.00","$19,231.68","$37,400.00","$37,400.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$19,231.68",Submitted,25/10/2024 12:07 AM,25/10/2024 12:07 AM,25/10/2024 12:07 AM
467,Evie Mcgruddy,d23,Chester,Borrows,,Whanganui,National Party,"$15,000.00","$15,458.96","$15,000.00","$15,000.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$15,458.96",Submitted,24/10/2024 11:56 PM,24/10/2024 11:56 PM,24/10/2024 11:56 PM
466,Evie Mcgruddy,d23,Chris,Bishop,,Hutt South,National Party,"$26,419.00","$19,337.67","$26,419.00","$26,419.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$19,337.67",Submitted,24/10/2024 11:49 PM,24/10/2024 11:49 PM,24/10/2024 11:49 PM
465,Evie Mcgruddy,d23,Paula,Bennett,,Upper Harbour,National Party,"$18,658.00","$15,826.27","$18,658.00","$18,658.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$15,826.27",Submitted,24/10/2024 11:47 PM,24/10/2024 11:47 PM,24/10/2024 11:47 PM
464,Evie Mcgruddy,d23,David,Bennett,,Hamilton East,National Party,"$20,500.00","$13,439.45","$20,500.00","$20,500.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$13,439.45",Submitted,24/10/2024 11:44 PM,24/10/2024 11:44 PM,24/10/2024 11:44 PM
463,Evie Mcgruddy,d23,Andrew,Bayly,,Hunua,National Party,"$19,500.00","$14,939.41","$19,500.00","$19,500.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$14,939.41",Submitted,24/10/2024 11:40 PM,24/10/2024 11:40 PM,24/10/2024 11:40 PM
462,Evie Mcgruddy,d23,Maggie,Barry,,North Shore,National Party,"$14,854.07","$14,877.07","$14,854.07","$14,854.07",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$14,877.07",Submitted,24/10/2024 11:37 PM,24/10/2024 11:37 PM,24/10/2024 11:37 PM
461,Evie Mcgruddy,d23,Todd,Barclay,,Clutha-Southland,National Party,"$29,654.00","$15,905.74","$29,654.00","$29,654.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$15,905.74",Submitted,24/10/2024 11:35 PM,24/10/2024 11:35 PM,24/10/2024 11:35 PM
460,Evie Mcgruddy,d23,Kanwal,Bakshi,,Manukau East,National Party,"$10,000.00","$9,365.21","$10,000.00","$10,000.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$9,365.21",Submitted,24/10/2024 11:30 PM,24/10/2024 11:30 PM,24/10/2024 11:30 PM
459,Evie Mcgruddy,d23,Amy,Adams,,Selwyn,National Party,"$25,000.00","$17,627.01","$25,000.00","$25,000.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$17,627.01",Submitted,24/10/2024 11:16 PM,24/10/2024 11:16 PM,24/10/2024 11:16 PM
458,Evie Mcgruddy,d23,Jason,Woolston,,Kelston,United Future,$0.00,"$1,184.04",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,184.04",Submitted,24/10/2024 10:28 PM,24/10/2024 10:28 PM,24/10/2024 10:28 PM
457,Evie Mcgruddy,d23,Quentin,Todd,,Hamilton East,United Future,$96.00,$96.00,$96.00,$96.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$96.00,Submitted,24/10/2024 10:26 PM,24/10/2024 10:26 PM,24/10/2024 10:26 PM
456,Evie Mcgruddy,d23,Dave,Stonyer,,Hutt South,United Future,$0.00,$135.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$135.00,Submitted,24/10/2024 10:22 PM,24/10/2024 10:22 PM,24/10/2024 10:22 PM
455,Evie Mcgruddy,d23,Alan,Simmons,,Taupō,United Future,$0.00,"$2,390.00",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,390.00",Submitted,24/10/2024 10:19 PM,24/10/2024 10:19 PM,24/10/2024 10:19 PM
454,Evie Mcgruddy,d23,Ben,Rickard,,Bay of Plenty,United Future,$0.00,$335.50,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$335.50,Submitted,24/10/2024 10:17 PM,24/10/2024 10:17 PM,24/10/2024 10:17 PM
453,Evie Mcgruddy,d23,Sam,Park,,Christchurch East,United Future,$0.00,"$1,705.50",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,705.50",Submitted,24/10/2024 10:15 PM,24/10/2024 10:15 PM,24/10/2024 10:15 PM
452,Evie Mcgruddy,d23,Bryan,Mockridge,,Maungakiekie,United Future,$0.00,"$1,134.75",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,134.75",Submitted,24/10/2024 10:14 PM,24/10/2024 10:14 PM,24/10/2024 10:14 PM
451,Evie Mcgruddy,d23,James,Maxwell,,Tauranga,United Future,$0.00,$167.26,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$167.26,Submitted,24/10/2024 10:11 PM,24/10/2024 10:11 PM,24/10/2024 10:11 PM
450,Evie Mcgruddy,d23,Damian,Light,,Northcote,United Future,$0.00,"$1,863.50",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,863.50",Submitted,24/10/2024 10:09 PM,24/10/2024 10:09 PM,24/10/2024 10:09 PM
449,Evie Mcgruddy,d23,Sultan,Eusoff,,Rongotai,United Future,$0.00,"$3,661.60",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$3,661.60",Submitted,24/10/2024 10:06 PM,24/10/2024 10:06 PM,24/10/2024 10:06 PM
448,Evie Mcgruddy,d23,Peter,Dunne,,Ōhāriu,United Future,$0.00,"$17,062.62",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$17,062.62",Submitted,24/10/2024 10:03 PM,24/10/2024 10:03 PM,24/10/2024 10:03 PM
447,Evie Mcgruddy,d23,Vicky,Rose,,Ikaroa-Rāwhiti,The Expats,$0.00,$100.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$100.00,Submitted,24/10/2024 8:06 PM,24/10/2024 8:06 PM,24/10/2024 8:06 PM
446,Evie Mcgruddy,d23,Mary,O'Neill,,Napier,The Alliance,$0.00,$471.19,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$471.19,Submitted,24/10/2024 8:03 PM,24/10/2024 8:03 PM,24/10/2024 8:03 PM
445,Evie Mcgruddy,d23,John,Overton,,Rongotai,Patriotic Revolutionary Front,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,Submitted,24/10/2024 7:54 PM,24/10/2024 7:54 PM,24/10/2024 7:54 PM
444,Evie Mcgruddy,d23,Tubby,Hansen,,Wigram,NZ Economic Euthenics Party,$0.00,$440.33,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$440.33,Submitted,24/10/2024 4:47 AM,24/10/2024 4:47 AM,24/10/2024 4:47 AM
443,Evie Mcgruddy,d23,Bill,Woods,,Selwyn,NZ First,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,Submitted,24/10/2024 4:41 AM,24/10/2024 4:41 AM,24/10/2024 4:41 AM
442,Evie Mcgruddy,d23,Richard,Taurima,,Hamilton East,NZ First,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,Submitted,24/10/2024 4:40 AM,24/10/2024 4:40 AM,24/10/2024 4:40 AM
