_2017CandidateDonations_Id,UserName,LoginCode,CandidateName_First,CandidateName_Last,CandidateName_Prefix,Electorate,Party,TotalDonationsACD,TotalExpensesFG,TotalPartA,TotalPartACalculated,PartATotalsMatch,TotalPartB,TotalPartC,TotalPartDCalculated,PartCTotalsMatch,TotalPartD,TotalPartDCalculated2,PartDTotalsMatch,TotalPartFCandidateOnlyExpenses,TotalPartGSharedExpenses,TotalPartH,TotalPartHCalculated,PartHTotalsMatch,Entry_Status,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
446,Evie Mcgruddy,d23,Quentin,Todd,,Hamilton West,United Future,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,$0.00,,No,Submitted,31/07/2024 3:27 AM,31/07/2024 3:27 AM,31/07/2024 3:27 AM
445,Evie Mcgruddy,d23,Kelleigh,Sheffield-Cranstoun,,Mana,United Future,$0.00,$75.77,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$75.77,$0.00,$0.00,,No,Submitted,31/07/2024 3:20 AM,31/07/2024 3:20 AM,31/07/2024 3:20 AM
444,Evie Mcgruddy,d23,Ben,Rickard,,Tauranga,United Future,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,$0.00,,No,Submitted,31/07/2024 2:59 AM,31/07/2024 2:59 AM,31/07/2024 2:59 AM
443,Evie Mcgruddy,d23,Bale,Nadakuitavuki,,Ōhāriu,United Future,$0.00,$60.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,$0.00,,No,Submitted,31/07/2024 2:52 AM,31/07/2024 2:52 AM,31/07/2024 2:52 AM
442,Evie Mcgruddy,d23,Damian,Light,,Botany,United Future,$0.00,$519.16,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$519.16,$0.00,,No,Submitted,31/07/2024 2:44 AM,31/07/2024 2:44 AM,31/07/2024 2:44 AM
441,Evie Mcgruddy,d23,John,Hubscher,,New Lynn,United Future,$0.00,"$1,417.07",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$1,417.07",$0.00,,No,Submitted,31/07/2024 1:39 AM,31/07/2024 1:39 AM,31/07/2024 1:39 AM
440,Evie Mcgruddy,d23,Ian Camden,Gaskin,,Christchurch Central,United Future,$0.00,"$2,058.49",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,058.49",$0.00,$0.00,,No,Submitted,31/07/2024 1:27 AM,31/07/2024 1:27 AM,31/07/2024 1:27 AM
439,Evie Mcgruddy,d23,John Truman,Foster,,Kaikōura,United Future,$0.00,"$1,420.00",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,420.00",$0.00,$0.00,,No,Submitted,30/07/2024 4:18 AM,30/07/2024 4:18 AM,30/07/2024 4:18 AM
438,Evie Mcgruddy,d23,Olly,Wilson,,Rangitata,The Opportunities Party,"$1,762.57","$11,780.03","$1,762.57","$1,762.57",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$11,780.03",$0.00,,No,Submitted,30/07/2024 3:29 AM,30/07/2024 3:29 AM,30/07/2024 3:29 AM
437,Evie Mcgruddy,d23,Richard,Warwick,,Hutt South,The Opportunities Party,"$5,415.66","$5,435.66","$5,415.66","$5,415.66",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$5,435.66",$0.00,,No,Submitted,30/07/2024 2:50 AM,30/07/2024 2:50 AM,30/07/2024 2:50 AM
