PARTY,ELECTORATE,SURNAME,FIRST NAME(S), TOTAL DONATIONS , TOTAL EXPENSES ,2020 Donor Return Part A Name and Steet Address,Date received,Contributions,Amount,Title,Name,Company/Org,Address,Other detail,Money or Goods and Services,Part B Contribution Name and Address,Date received,Donor Part A,Amount,Name,Company/Org,Address,Other detail,Money or Goods and Services,Notes
Independent,Rongotai,McDONALD,Don S Newt, $304.00 ," $11,698.00 ",Walter,,,,,,,,,,,,,,,,,,,Illegible
Independent,Hamilton East,COLEMAN,Matt, $500.00 ," $1,635.07 ",NIL,,,,,,,,,,,,,,,,,,,
ONE Party,Invercargill,WEST,Jackie," $1,000.00 "," $1,139.87 ",NIL,,,,,,,,,,,,,,,,,,,
ONE Party,Port Waikato,JOHNSON,Ian," $1,050.00 "," $1,340.00 ",NIL,,,,,,,,,,,,,,,,,,,
Independent,Manurewa,LINAKER,Luella," $1,350.00 "," $4,152.95 ",,,,,,,,,,,,,,,,,,,,
Independent,Manurewa,LINAKER,Luella,,,"Heena SIKKA, 116 Polo Prince Drive, Alfriston, Auckland 2105, New Zealand",8/27/2020,NO,$200.00 ,,Heena SIKKA,,"116 Polo Prince Drive, Alfriston, Auckland 2105, New Zealand",,Money,,,,,,,,,,
Independent,Manurewa,LINAKER,Luella,,,"Shehbaz Singh, Flat 1, 2 Ross Martin Court, Takanini, 2112, New Zealand",8/27/2020,NO,$200.00 ,,Shehbaz Singh,,"Flat 1, 2 Ross Martin Court, Takanini, 2112, New Zealand",,Money,,,,,,,,,,
Independent,Manurewa,LINAKER,Luella,,,"Rahul Varma, 20 Woolston Place, Flat Bush, Auckland, 2016, New Zealand",8/27/2020,NO,$200.00 ,,Rahul Varma,,"20 Woolston Place, Flat Bush, Auckland, 2016, New Zealand",,Money,,,,,,,,,,
Independent,Manurewa,LINAKER,Luella,,,"Alan Johnson, 32B Blanes Road, Weymouth, Manurewa, 2012 New Zealand",10/3/2020,NO,$250.00 ,,Alan Johnson,," 32B Blanes Road, Weymouth, Manurewa, 2012 New Zealand",,Money,,,,,,,,,,
Independent,Manurewa,LINAKER,Luella,,,"Ranjay SIKKA, 116 Polo Price Drive, Alfriston, Auckland, 2015, New Zealand",10/22/2020,NO,$500.00 ,,Ranjay SIKKA,,"116 Polo Price Drive, Alfriston, Auckland, 2015, New Zealand",,Money,,,,,,,,,,
New Zealand First Party,Tauranga,HARVEY,Erika," $1,498.00 "," $16,451.38 ",,,,,,,,,,,,,,,,,,,,
New Zealand First Party,Tauranga,HARVEY,Erika,,,NZ First BOP Electorate,10/4/2020,NO,"$1,498.00 ",,,NZ First BOP Electorate,,contribution for combined party vote resources and advertising,Money,,,,,,,,,,Missing address; potential mixed party funds; Missing name of individual at whose direction the donation was made
Green Party,Palmerston North,TUIONO,Teanau," $1,510.00 ", $703.95 ,,,,,,,,,,,,,,,,,,,,
Green Party,Palmerston North,TUIONO,Teanau,,,"Brent Barrett, 45 Pahiatua Street, Hokowhitu, Palmerston North","25/05/2020, 01/06/2020, 10/08/2020, 11/09/2020",,"$1,510.00 ",,Brent Barrett,,"45 Pahiatua Street, Hokowhitu, Palmerston North","Four separate donations, individuals amounts unknown",Money,,,,,,,,,,Missing indication of whether Part B applies 
New Zealand First Party,Rotorua,TABUTEAU,Fletcher," $1,600.00 "," $6,986.46 ",,,,,,,,,,,,,,,,,,,,
New Zealand First Party,Rotorua,TABUTEAU,Fletcher,,,"Fletcher Tabuteou, 14/60 Tauranga Direct Rd, Hamurana, Rotorua",9/17/2020,NO,"$1,600.00 ",,Fletcher Tabuteou,,"14/60 Tauranga Direct Rd, Hamurana, Rotorua",,Money,,,,,,,,,,Donated to self
ACT New Zealand,Upper Harbour,CHHOUR,Karen," $1,650.00 ", $451.72 ,,,,,,,,,,,,,,,,,,,,
ACT New Zealand,Upper Harbour,CHHOUR,Karen,,,"Christopher Coulter, 97A Manuka Road, Bayview","03/08/20, 10/08/20, 17/08/20, 29/08/20, 31/08/20, 07/09/20, 14/09/20, 21/09/20, 28/09/20, 05/10/20, 12/10/20",NO,"$1,650.00 ",,Christopher Coulter,,"97A Manuka Road, Bayview",,Money,,,,,,,,,,
Advance NZ,Whanganui,WEBER,Charlotte," $1,750.00 "," $6,778.11 ",,,,,,,,,,,,,,,,,,,,
Advance NZ,Whanganui,WEBER,Charlotte,,,Sharp Plumbing & Gas Services Ltd,9/10/2021,NO," $1,750.00 ",,,Sharp Plumbing & Gas Services Ltd,,Donated water softener for raffle RRP value,Goods and Services,,,,,,,,,,Missing address
New Conservative,Upper Harbour,SOARES,Bernadette," $1,790.00 "," $15,510.36 ",,,,,,,,,,,,,,,,,,,,
New Conservative,Upper Harbour,SOARES,Bernadette,,,Black Swan Digital Media Auckland,8/5/2020,NO," $1,790.00 ",,,Black Swan Digital Media,Auckland,Discount on video production,Goods and Services,,,,,,,,,,Missing full address
The Opportunities Party (TOP),Dunedin,PETERS,Ben," $1,834.00 "," $2,960.89 ",,,,,,,,,,,,,,,,,,,,
The Opportunities Party (TOP),Dunedin,PETERS,Ben,,,"kaiser Brothers, 90 Crawford st Dunedin",8/5/2020,NO," $1,834.00 ",,,kaiser Brothers,90 Crawford st Dunedin,,Money,,,,,,,,,,
TEA Party,Te Atatū,AMOAH,Frank," $2,000.00 "," $4,770.20 ",,,,,,,,,,,,,,,,,,,,
