CandidateDonations2023Test_Id,UserName,LoginCode,CandidateName_First,CandidateName_Last,CandidateName_Prefix,Electorate,Party,TotalDonationsACD,TotalExpensesFG,TotalPartA,TotalPartACalculated,PartATotalsMatch,TotalPartB,TotalPartC,TotalPartDCalculated,PartCTotalsMatch,TotalPartD,TotalPartDCalculated2,PartDTotalsMatch,TotalPartFCandidateOnlyExpenses,TotalPartGSharedExpenses,TotalPartH,TotalPartHCalculated,PartHTotalsMatch,Entry_Status,Entry_DateCreated,Entry_DateSubmitted,Entry_DateUpdated
514,Bryce Edwards,d23,Daniel,Doughty,,Dunedin,ACT,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,$0.00,$0.00,No,Submitted,28/05/2024 3:42 AM,28/05/2024 3:42 AM,28/05/2024 3:42 AM
513,Bryce Edwards,d23,Alan,Davidson,,Whanganui,ACT,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,$0.00,$0.00,No,Submitted,28/05/2024 3:40 AM,28/05/2024 3:40 AM,28/05/2024 3:40 AM
512,Bryce Edwards,d23,Brian,Davidson,,Selwyn,ACT,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,$0.00,$0.00,$0.00,No,Submitted,28/05/2024 3:35 AM,28/05/2024 3:35 AM,28/05/2024 3:35 AM
511,Bryce Edwards,d23,Tom,Corbett,,Rangitata,ACT,$0.00,$394.13,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$394.13,$0.00,$0.00,$0.00,No,Submitted,28/05/2024 2:39 AM,28/05/2024 2:39 AM,28/05/2024 2:39 AM
510,Bryce Edwards,d23,Anneka,Carlson,,New Plymouth,ACT,"$9,822.00","$4,822.67","$9,822.00","$9,822.67",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$0.00,"$4,822.67",$0.00,$0.00,No,Submitted,28/05/2024 2:38 AM,28/05/2024 2:38 AM,28/05/2024 2:38 AM
509,Bryce Edwards,d23,David,MacLeod,,New Plymouth,National Party,"$207,662.00","$22,826.51","$207,662.00","$207,662.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$20,089.34","$2,737.17",$0.00,$0.00,No,Submitted,23/05/2024 5:37 AM,23/05/2024 5:37 AM,23/05/2024 5:37 AM
508,Bryce Edwards,d23,Jeanette,Wilson,,Whangaparāoa,New Zealand Loyal,$0.00,"$6,890.19",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,541.35","$4,348.84",$0.00,$0.00,No,Submitted,22/05/2024 9:30 PM,22/05/2024 9:30 PM,22/05/2024 9:30 PM
507,Bryce Edwards,d23,Gordon,Wilson,,Taupō,New Zealand Loyal,$0.00,"$3,876.51",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$989.00,"$2,884.51",$0.00,$0.00,No,Submitted,22/05/2024 9:29 PM,22/05/2024 9:29 PM,22/05/2024 9:29 PM
506,Bryce Edwards,d23,Warren,Willetts,,New Plymouth,New Zealand Loyal,$0.00,$930.17,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$872.62,$57.55,$0.00,$0.00,No,Submitted,22/05/2024 9:26 PM,22/05/2024 9:26 PM,22/05/2024 9:26 PM
505,Bryce Edwards,d23,Peter,Vaughan,,Nelson,New Zealand Loyal,$0.00,"$1,302.75",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,298.97",$3.78,$0.00,$0.00,No,Submitted,22/05/2024 9:25 PM,22/05/2024 9:25 PM,22/05/2024 9:25 PM
504,Bryce Edwards,d23,Christine,van Duivenboden,,Wigram,New Zealand Loyal,$0.00,$934.65,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$934.65,$0.00,$0.00,$0.00,No,Submitted,22/05/2024 9:20 PM,22/05/2024 9:20 PM,22/05/2024 9:20 PM
503,Bryce Edwards,d23,Kim,Turner,,Port Waikato,New Zealand Loyal,$0.00,"$1,280.53",$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$190.90,"$1,089.63",$0.00,$0.00,No,Submitted,22/05/2024 9:17 PM,22/05/2024 9:17 PM,22/05/2024 9:17 PM
502,Bryce Edwards,d23,Bryan,Ten Have,,Ōtaki,New Zealand Loyal,$0.00,$131.93,$0.00,$0.00,No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,$35.00,$96.93,$0.00,$0.00,No,Submitted,22/05/2024 9:15 PM,22/05/2024 9:15 PM,22/05/2024 9:15 PM
501,Bryce Edwards,d23,Lisa,Temperton,,Mana,New Zealand Loyal,"$2,600.00","$1,690.00","$2,600.00","$2,600.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$1,600.00",$90.00,$0.00,$0.00,No,Submitted,22/05/2024 9:13 PM,22/05/2024 9:13 PM,22/05/2024 9:13 PM
500,Bryce Edwards,d23,Wayne,Shearer,,Rangitata,New Zealand Loyal,"$2,500.00","$3,632.65","$2,500.00","$2,500.00",No,$0.00,$0.00,$0.00,No,$0.00,$0.00,No,"$2,899.37",$733.28,$0.00,$0.00,No,Submitted,22/05/2024 9:08 PM,22/05/2024 9:08 PM,22/05/2024 9:08 PM
