Minister,Date or Date Started,Date Finished,Schedule Time,Type,Meeting,Location,With,Portfolio
Andrew Hoggard,5/29/2024,,6:00 PM - 7:30 PM,ATTEND,"  Speaker Invites New MPS to an IDNAD (Information, Discussion, Nibbles and Drinks)",Parliament Buildings,Event Attendees,Ministerial
Andrew Hoggard,5/8/2024,,"5:30 PM - 7:30
PM",ATTEND, 2024 Europe Day Reception,Parliament Buildings,Event Attendees,Ministerial
Andrew Hoggard,5/28/2024,,"5:45 PM - 7:30
PM",ATTEND, 71st Everest Day at Parliament,Parliament Buildings,Event Attendees,Ministerial
Andrew Hoggard,10/4/2024,,12:00 PM - 4:00 PM,ATTEND, AgResearch Grasslands,Palmerston North,Attendees,Associate Environment
Andrew Hoggard,4/10/2024,,"12:00 PM -
1:30 PM",ATTEND, Agrizero Event,Parliament Buildings,Event Attendees,Ministerial
Andrew Hoggard,5/23/2024,,"4:30 PM - 6:30
PM",ATTEND," Announcement of the 2024 Freshwater
Champions Aotearoa New Zealand",Te Papa,Event Attendees,"Associate
Environment"
Andrew Hoggard,6/7/2024,,"1:45 PM -  2:40
PM",ATTEND, Avocado Orchard Visit,Te Puke,"NZ Avocado
Representatives",Biosecurity
Andrew Hoggard,6/14/2024,,"10:00 AM -
10:45 AM",ATTEND," Battle of the New Zealand Young
Farmer Grand Finalists",Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,6/13/2024,,"2:30 PM -  6:00
PM",ATTEND, Bi-Lateral Meeting with Chinese Delegation,Government House,"Multiple Ministers &
Chinese Delegation",Ministerial
Andrew Hoggard,7/24/2024,,"10:00 AM -
5:30 PM",ATTEND, Biodiversity Stewardship Pilot Trip,South Australia,Attendees,"Associate
Environment"
Andrew Hoggard,9/11/2024,,"7:00 AM - 8:30
AM",ATTEND," Breakfast with Minister Grigg, DairyNZ & Dairy
Companies Assoc of NZ",Wellington,Attendees,Food Safety
Andrew Hoggard,10/3/2024,,2:00 PM - 3:00 PM,ATTEND, Craigmore Sustainables,Canterbury,Attendees,Associate Environment
Andrew Hoggard,6/6/2024,,5:30 PM -  8:30 PM,ATTEND, Fed Farmers Meeting with other Farmers and Councils,Te Puke,Event Attendees,Associate Environment
Andrew Hoggard,6/12/2024,,"11:00 AM -
11:30 AM",ATTEND," Federated Farmers and Fieldays Rural
Advocacy Hub Opening",Mystery Creek,Event Attendees,"Associate
Agriculture"
Andrew Hoggard,10/11/2024,,"8:00 AM - 5:00
PM",ATTEND, Feilding Rural Day,Palmerston North,Attendees,Ministerial
Andrew Hoggard,7/24/2024,,"7:00 PM -
9:00 PM",ATTEND, FMM Ministers' Dinner,Adelaide,FMM Ministers,Food Safety
Andrew Hoggard,7/25/2024,,"9:30 AM - 1:30
AM",ATTEND, Food Ministers' Meeting,Adelaide,Food Ministers,Food Safety
Andrew Hoggard,9/18/2024,,"5:30 PM - 6:30
PM",ATTEND, FSANZ Stakeholder Event,Wellington,Attendees,Food Safety
Andrew Hoggard,9/10/2024,,"6:00 PM - 7:30
PM",ATTEND," Function to launch a Report commissioned by
Zespri and CMA CGM",Wellington,Attendees,"Associate
Environment"
Andrew Hoggard,6/13/2024,,"2:00 PM -  2:30
PM",ATTEND, Greeting of Chinese Delegation,Government House,"Multiple Ministers &
Chinese Delegation",Ministerial
